confidence,correct
0.9701744914054871,True
0.9169657230377197,True
0.8859590888023376,False
0.8269028067588806,True
0.6756076216697693,True
0.4655171036720276,False
0.8174904584884644,True
0.5497722625732422,True
0.9339025616645813,True
0.9492648839950562,True
0.98101407289505,True
0.9648964405059814,True
0.8314023017883301,True
0.9500435590744019,True
0.5197862386703491,False
0.98139488697052,True
0.8633347153663635,True
0.8653485774993896,True
0.6560432314872742,True
0.8913829326629639,True
0.9079055786132812,False
0.8906187415122986,True
0.9275814890861511,True
0.5594356060028076,False
0.7606852650642395,True
0.5843028426170349,True
0.4255806803703308,True
0.6302703022956848,True
0.968863844871521,True
0.9529533386230469,True
0.5474318265914917,False
0.8399235606193542,True
0.6555713415145874,True
0.6642480492591858,True
0.839402973651886,True
0.8594143986701965,True
0.7388727068901062,False
0.52762770652771,True
0.9747978448867798,True
0.7153069972991943,True
0.9006620645523071,True
0.8592895269393921,False
0.7331161499023438,True
0.7140054702758789,False
0.9436253905296326,True
0.5681082010269165,True
0.569678544998169,False
0.7430693507194519,True
0.7573059797286987,True
0.7622929811477661,True
0.8268691301345825,False
0.9239398837089539,True
0.9258964657783508,True
0.9658713340759277,True
0.8990724682807922,True
0.6368169784545898,True
0.7612814903259277,True
0.6235535740852356,True
0.8982132077217102,False
0.8034185767173767,False
0.7437982559204102,True
0.4831489622592926,True
0.8833187818527222,True
0.9175393581390381,True
0.8826581239700317,True
0.890268087387085,True
0.9312386512756348,True
0.7965027093887329,True
0.5318408608436584,False
0.5353267192840576,True
0.6731759309768677,True
0.9503130316734314,True
0.9131677150726318,True
0.5893898010253906,False
0.6539881825447083,True
0.7786816358566284,False
0.7639453411102295,True
0.972908616065979,True
0.8684508204460144,True
0.9449651837348938,True
0.5964169502258301,True
0.855400025844574,True
0.7477074861526489,True
0.8585731983184814,True
0.6016683578491211,True
0.8871285915374756,False
0.7675912380218506,False
0.731852114200592,True
0.779878556728363,True
0.9460610747337341,True
0.6548769474029541,False
0.9115246534347534,True
0.5514976382255554,True
0.8569994568824768,True
0.5698971748352051,True
0.7508081197738647,False
0.8928163647651672,True
0.8691285252571106,True
0.7966287136077881,False
0.9719024896621704,True
0.6744164824485779,True
0.7241135835647583,True
0.816815197467804,True
0.6473682522773743,True
0.8293303847312927,True
0.5697097182273865,False
0.7270018458366394,True
0.7679840922355652,True
0.9612787961959839,True
0.78795325756073,True
0.621505081653595,False
0.7979341745376587,False
0.7359268069267273,True
0.6182589530944824,False
0.9313997626304626,True
0.8694625496864319,True
0.7575938701629639,False
0.9077167510986328,True
0.9167152047157288,True
0.908241331577301,True
0.754205048084259,False
0.9647064805030823,True
0.6895875930786133,True
0.8806339502334595,True
0.6746922135353088,True
0.6584453582763672,False
0.8185348510742188,True
0.9816312193870544,True
0.6792548894882202,True
0.5876244306564331,True
0.9595099687576294,True
0.5998516082763672,False
0.9167597889900208,True
0.7287517786026001,True
0.847960889339447,True
0.9167152047157288,True
0.8322907090187073,True
0.7486184239387512,True
0.9281318783760071,True
0.9201383590698242,True
0.8779498338699341,True
0.6564816832542419,True
0.8816167712211609,True
0.9521598219871521,True
0.5389297008514404,True
0.7865946292877197,True
0.44583484530448914,False
0.5690339803695679,True
0.9680642485618591,True
0.9611507058143616,True
0.9478060007095337,True
0.6263309717178345,False
0.5043368935585022,False
0.7087334990501404,True
0.8833628296852112,True
0.9274113178253174,True
0.8807929754257202,True
0.7247492074966431,True
0.8884972333908081,True
0.8468142747879028,True
0.9392899870872498,True
0.6342629790306091,True
0.5880146622657776,True
0.7213729619979858,True
0.7493294477462769,True
0.7744402885437012,True
0.7568986415863037,False
0.7905822992324829,True
0.7534891366958618,False
0.872128427028656,True
0.7915937900543213,True
0.6878247857093811,True
0.9541589617729187,True
0.9476584196090698,True
0.6885367631912231,True
0.8636336922645569,True
0.49751898646354675,False
0.6124213933944702,True
0.6488697528839111,False
0.5910888910293579,False
0.8869733214378357,True
0.9412823915481567,True
0.7090516686439514,True
0.5308395028114319,True
0.7176566123962402,False
0.7718764543533325,False
0.6726582050323486,True
0.8232813477516174,True
0.6341114044189453,False
0.6362360119819641,False
0.7185892462730408,False
0.7916711568832397,True
0.6664848923683167,False
0.7727515697479248,False
0.6697081923484802,True
0.836577296257019,True
0.9364846348762512,True
0.6162860989570618,False
0.9419846534729004,True
0.9313997626304626,True
0.944800078868866,True
0.5390795469284058,True
0.6297149062156677,True
0.5856602191925049,False
0.8392307162284851,True
0.8888358473777771,False
0.6503687500953674,False
0.7877153754234314,True
0.6766011714935303,True
0.873624861240387,True
0.837755024433136,True
0.9314779043197632,True
0.9175533056259155,True
0.628633975982666,True
0.590884804725647,True
0.8170583248138428,True
0.8892872333526611,True
0.92905193567276,False
0.8841261267662048,True
0.9658544063568115,True
0.9108572602272034,False
0.6724492907524109,True
0.6299841403961182,False
0.7905024290084839,True
0.8794828653335571,True
0.7621651887893677,True
0.8851359486579895,True
0.6342352032661438,True
0.5505942702293396,False
0.6428028345108032,True
0.5952280163764954,False
0.9454848170280457,True
0.5497084259986877,False
0.7031528353691101,False
0.5511814951896667,True
0.8335084915161133,True
0.474944144487381,False
0.5040051937103271,True
0.9250604510307312,True
0.7675923705101013,True
0.7143892645835876,True
0.9832736253738403,True
0.5436825156211853,True
0.5027377605438232,True
0.9082378149032593,True
0.7505077123641968,True
0.8569844961166382,True
0.8554344773292542,True
0.8143439292907715,True
0.8591760396957397,True
0.8445599675178528,True
0.8097090125083923,True
0.7606686949729919,True
0.9155743718147278,True
0.8569425344467163,True
0.6893154382705688,True
0.9846788644790649,True
0.7370972037315369,True
0.6195565462112427,True
0.869775116443634,True
0.9098329544067383,True
0.7697155475616455,True
0.48142504692077637,False
0.5226435661315918,False
0.8737652897834778,True
0.8098255395889282,True
0.8873447179794312,True
0.8952416777610779,True
0.9803192019462585,True
0.9020246267318726,True
0.9601380228996277,True
0.6198667287826538,True
0.8921552300453186,True
0.8348857164382935,True
0.660031259059906,True
0.9744700193405151,True
0.7751633524894714,True
0.5775856375694275,False
0.9735817313194275,True
0.9651144742965698,True
0.9392202496528625,True
0.49565446376800537,False
0.666053831577301,False
0.9760046601295471,True
0.7269898056983948,True
0.9905946254730225,True
0.8540177345275879,True
0.9633171558380127,True
0.8323811888694763,True
0.9313997626304626,True
0.7266054749488831,True
0.5486995577812195,False
0.9669723510742188,True
0.8901160955429077,False
0.9173768758773804,True
0.8596065640449524,True
0.81960529088974,True
0.9213389754295349,True
0.7125566005706787,True
0.7493115067481995,True
0.7407623529434204,True
0.6542186737060547,False
0.7869411706924438,True
0.6502847075462341,True
0.9324253797531128,True
0.6215718388557434,True
0.8063279390335083,True
0.47381049394607544,True
0.7735142111778259,True
0.8547576665878296,True
0.9692404866218567,True
0.5643622875213623,True
0.5753060579299927,True
0.6477851867675781,True
0.9003917574882507,True
0.8890674114227295,True
0.900680661201477,True
0.5586434006690979,True
0.9192251563072205,True
0.8095324039459229,True
0.8588350415229797,True
0.7590409517288208,False
0.8663842082023621,True
0.8972236514091492,True
0.9417063593864441,False
0.6192671060562134,False
0.9051998257637024,True
0.5112581253051758,True
0.855172336101532,True
0.8987792730331421,True
0.9604663252830505,True
0.5960895419120789,False
0.8223395347595215,True
0.9873576164245605,True
0.6979053616523743,False
0.9715927243232727,False
0.7689715623855591,True
0.7865678071975708,True
0.6998016834259033,False
0.6130861043930054,False
0.699488639831543,True
0.5910872220993042,True
0.8445599675178528,True
0.628633975982666,True
0.6000320315361023,True
0.4535658657550812,False
0.8934975266456604,True
0.9332485198974609,True
0.8300098776817322,True
0.6952581405639648,True
0.7295142412185669,False
0.5928987264633179,True
0.531810462474823,False
0.8405587077140808,True
0.9910934567451477,True
0.9410461783409119,True
0.7615472078323364,True
0.6799924969673157,True
0.7979901432991028,True
0.5498279929161072,True
0.732574999332428,True
0.5839394927024841,False
0.7384176850318909,True
0.943687915802002,True
0.6728875637054443,True
0.982475996017456,True
0.4936932623386383,False
0.7900227308273315,True
0.8749751448631287,True
0.9174559712409973,True
0.9643850922584534,True
0.9800655245780945,True
0.8406941294670105,True
0.8951115012168884,True
0.8170478343963623,True
0.8871612548828125,True
0.8527069687843323,True
0.6540745496749878,True
