episode,epsilon
0,0.995
1,0.990025
2,0.985074875
3,0.9801495006250001
4,0.9752487531218751
5,0.9703725093562657
6,0.9655206468094844
7,0.960693043575437
8,0.9558895783575597
9,0.9511101304657719
10,0.946354579813443
11,0.9416228069143757
12,0.9369146928798039
13,0.9322301194154049
14,0.9275689688183278
15,0.9229311239742362
16,0.918316468354365
17,0.9137248860125932
18,0.9091562615825302
19,0.9046104802746175
20,0.9000874278732445
21,0.8955869907338783
22,0.8911090557802088
23,0.8866535105013078
24,0.8822202429488013
25,0.8778091417340573
26,0.8734200960253871
27,0.8690529955452602
28,0.8647077305675338
29,0.8603841919146962
30,0.8560822709551227
31,0.851801859600347
32,0.8475428503023453
33,0.8433051360508336
34,0.8390886103705794
35,0.8348931673187264
36,0.8307187014821328
37,0.8265651079747222
38,0.8224322824348486
39,0.8183201210226743
40,0.8142285204175609
41,0.810157377815473
42,0.8061065909263957
43,0.8020760579717637
44,0.798065677681905
45,0.7940753492934954
46,0.7901049725470279
47,0.7861544476842928
48,0.7822236754458713
49,0.778312557068642
50,0.7744209942832988
51,0.7705488893118823
52,0.7666961448653229
53,0.7628626641409962
54,0.7590483508202912
55,0.7552531090661897
56,0.7514768435208588
57,0.7477194593032545
58,0.7439808620067382
59,0.7402609576967045
60,0.736559652908221
61,0.7328768546436799
62,0.7292124703704616
63,0.7255664080186093
64,0.7219385759785162
65,0.7183288830986236
66,0.7147372386831305
67,0.7111635524897149
68,0.7076077347272662
69,0.7040696960536299
70,0.7005493475733617
71,0.697046600835495
72,0.6935613678313175
73,0.6900935609921609
74,0.6866430931872001
75,0.6832098777212641
76,0.6797938283326578
77,0.6763948591909945
78,0.6730128848950395
79,0.6696478204705644
80,0.6662995813682115
81,0.6629680834613705
82,0.6596532430440636
83,0.6563549768288433
84,0.653073201944699
85,0.6498078359349755
86,0.6465587967553006
87,0.6433260027715241
88,0.6401093727576664
89,0.6369088258938781
90,0.6337242817644086
91,0.6305556603555866
92,0.6274028820538087
93,0.6242658676435396
94,0.6211445383053219
95,0.6180388156137953
96,0.6149486215357263
97,0.6118738784280476
98,0.6088145090359074
99,0.6057704364907278
100,0.6027415843082742
101,0.5997278763867329
102,0.5967292370047992
103,0.5937455908197752
104,0.5907768628656763
105,0.5878229785513479
106,0.5848838636585911
107,0.5819594443402982
108,0.5790496471185967
109,0.5761543988830038
110,0.5732736268885887
111,0.5704072587541458
112,0.567555222460375
113,0.5647174463480732
114,0.5618938591163328
115,0.5590843898207511
116,0.5562889678716474
117,0.5535075230322891
118,0.5507399854171277
119,0.547986285490042
120,0.5452463540625918
121,0.5425201222922789
122,0.5398075216808175
123,0.5371084840724134
124,0.5344229416520513
125,0.531750826943791
126,0.5290920728090721
127,0.5264466124450268
128,0.5238143793828016
129,0.5211953074858876
130,0.5185893309484582
131,0.5159963842937159
132,0.5134164023722473
133,0.510849320360386
134,0.5082950737585841
135,0.5057535983897912
136,0.5032248303978422
137,0.500708706245853
138,0.4982051627146237
139,0.49571413690105054
140,0.4932355662165453
141,0.4907693883854626
142,0.4883155414435353
143,0.4858739637363176
144,0.483444593917636
145,0.4810273709480478
146,0.47862223409330756
147,0.47622912292284103
148,0.4738479773082268
149,0.47147873742168567
150,0.46912134373457726
151,0.46677573701590436
152,0.46444185833082485
153,0.46211964903917074
154,0.4598090507939749
155,0.457510005540005
156,0.45522245551230495
157,0.4529463432347434
158,0.4506816115185697
159,0.4484282034609769
160,0.446186062443672
161,0.4439551321314536
162,0.4417353564707963
163,0.43952667968844233
164,0.43732904629000013
165,0.4351424010585501
166,0.43296668905325736
167,0.43080185560799106
168,0.4286478463299511
169,0.42650460709830135
170,0.42437208406280985
171,0.4222502236424958
172,0.42013897252428334
173,0.4180382776616619
174,0.4159480862733536
175,0.41386834584198684
176,0.4117990041127769
177,0.40974000909221303
178,0.40769130904675194
179,0.40565285250151817
180,0.4036245882390106
181,0.4016064652978155
182,0.3995984329713264
183,0.3976004408064698
184,0.39561243860243744
185,0.3936343764094253
186,0.39166620452737816
187,0.3897078735047413
188,0.3877593341372176
189,0.3858205374665315
190,0.38389143477919885
191,0.3819719776053028
192,0.3800621177172763
193,0.37816180712868996
194,0.37627099809304654
195,0.3743896431025813
196,0.37251769488706843
197,0.3706551064126331
198,0.36880183088056995
199,0.3669578217261671
200,0.36512303261753626
201,0.3632974174544486
202,0.3614809303671764
203,0.3596735257153405
204,0.3578751580867638
205,0.35608578229633
206,0.3543053533848483
207,0.35253382661792404
208,0.3507711574848344
209,0.34901730169741024
210,0.3472722151889232
211,0.3455358541129786
212,0.3438081748424137
213,0.3420891339682016
214,0.3403786882983606
215,0.3386767948568688
216,0.33698341088258443
217,0.3352984938281715
218,0.33362200135903064
219,0.33195389135223546
220,0.3302941218954743
221,0.32864265128599696
222,0.326999438029567
223,0.3253644408394192
224,0.3237376186352221
225,0.322118930542046
226,0.32050833588933575
227,0.31890579420988907
228,0.3173112652388396
229,0.3157247089126454
230,0.3141460853680822
231,0.3125753549412418
232,0.31101247816653554
233,0.30945741577570285
234,0.3079101286968243
235,0.3063705780533402
236,0.30483872516307353
237,0.3033145315372582
238,0.3017979588795719
239,0.30028896908517405
240,0.2987875242397482
241,0.29729358661854943
242,0.29580711868545667
243,0.2943280830920294
244,0.29285644267656924
245,0.2913921604631864
246,0.28993519966087045
247,0.2884855236625661
248,0.28704309604425327
249,0.285607880564032
250,0.28417984116121187
251,0.2827589419554058
252,0.28134514724562876
253,0.2799384215094006
254,0.27853872940185365
255,0.27714603575484437
256,0.2757603055760701
257,0.2743815040481898
258,0.2730095965279488
259,0.27164454854530906
260,0.2702863258025825
261,0.2689348941735696
262,0.26759021970270175
263,0.2662522686041882
264,0.2649210072611673
265,0.26359640222486147
266,0.26227842021373715
267,0.2609670281126685
268,0.25966219297210513
269,0.2583638820072446
270,0.2570720625972084
271,0.25578670228422234
272,0.25450776877280124
273,0.2532352299289372
274,0.2519690537792925
275,0.2507092085103961
276,0.2494556624678441
277,0.24820838415550486
278,0.24696734223472733
279,0.2457325055235537
280,0.24450384299593592
281,0.24328132378095624
282,0.24206491716205145
283,0.2408545925762412
284,0.23965031961336
285,0.2384520680152932
286,0.23725980767521673
287,0.23607350863684065
288,0.23489314109365644
289,0.23371867538818816
290,0.23255008201124722
291,0.231387331601191
292,0.23023039494318503
293,0.2290792429684691
294,0.22793384675362674
295,0.22679417751985861
296,0.22566020663225933
297,0.22453190559909803
298,0.22340924607110255
299,0.22229219984074702
